LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT (?),WINNERS
Superlotto 6/49,15-46-25-39-12-45,6/30/2022,15840000,0
Lotto 6/42,31-38-13-20-14-18,6/30/2022,18353331,0
6Digit,6-9-2-7-5-0,6/30/2022,150000,0
Suertres Lotto 11AM,39181,6/30/2022,4500,170
Suertres Lotto 4PM,39180,6/30/2022,4500,391
Suertres Lotto 9PM,38719,6/30/2022,4500,503
EZ2 Lotto 11AM,44803,6/30/2022,4000,229
EZ2 Lotto 4PM,41883,6/30/2022,4000,248
EZ2 Lotto 9PM,21-15,6/30/2022,4000,112
Grand Lotto 6/55,07-09-51-02-24-39,6/29/2022,298452472,0
Megalotto 6/45,39-10-07-42-36-22,6/29/2022,8910000,0
4Digit,8-4-9-2,6/29/2022,38154,14
Suertres Lotto 11AM,36984,6/29/2022,4500,120
Suertres Lotto 4PM,39999,6/29/2022,4500,225
Suertres Lotto 9PM,39575,6/29/2022,4500,436
EZ2 Lotto 11AM,44706,6/29/2022,4000,258
EZ2 Lotto 4PM,41821,6/29/2022,4000,349
EZ2 Lotto 9PM,27-21,6/29/2022,4000,234
Ultra Lotto 6/58,55-54-02-58-23-09,6/28/2022,55833635.6,0
Superlotto 6/49,23-37-09-11-17-34,6/28/2022,15840000,0
Lotto 6/42,18-31-26-08-23-29,6/28/2022,13886702.2,0
6Digit,6-6-1-1-3-9,6/28/2022,275455,1
Suertres Lotto 11AM,36623,6/28/2022,4500,165
Suertres Lotto 4PM,39483,6/28/2022,4500,417
Suertres Lotto 9PM,37750,6/28/2022,4500,174
EZ2 Lotto 11AM,44606,6/28/2022,4000,239
EZ2 Lotto 4PM,23-16,6/28/2022,4000,81
EZ2 Lotto 9PM,11475,6/28/2022,4000,276
Grand Lotto 6/55,49-01-40-21-20-55,6/27/2022,281185257.2,0
Megalotto 6/45,10-44-22-31-33-19,6/27/2022,8910000,0
4Digit,0-3-1-8,6/27/2022,10000,62
Suertres Lotto 11AM,38025,6/27/2022,4500,190
Suertres Lotto 4PM,0-3-6,6/27/2022,4500,200
Suertres Lotto 9PM,37295,6/27/2022,4500,467
EZ2 Lotto 11AM,44588,6/27/2022,4000,232
EZ2 Lotto 4PM,30-26,6/27/2022,4000,69
EZ2 Lotto 9PM,43922,6/27/2022,4000,578
Ultra Lotto 6/58,53-47-15-30-32-58,6/26/2022,52057402,0
Superlotto 6/49,37-12-36-20-26-44,6/26/2022,15840000,0
Suertres Lotto 11AM,37503,6/26/2022,4500,198
Suertres Lotto 4PM,37354,6/26/2022,4500,119
Suertres Lotto 9PM,38572,6/26/2022,4500,221
EZ2 Lotto 11AM,44752,6/26/2022,4000,252
EZ2 Lotto 4PM,45352,6/26/2022,4000,159
EZ2 Lotto 9PM,18-19,6/26/2022,4000,173
Grand Lotto 6/55,22-51-41-31-16-39,6/25/2022,265279398,0
Lotto 6/42,27-24-40-14-39-04,6/25/2022,10518111.4,0
6Digit,8-2-6-4-9-9,6/25/2022,150000,0
Suertres Lotto 11AM,39209,6/25/2022,4500,237
Suertres Lotto 4PM,37470,6/25/2022,4500,147
Suertres Lotto 9PM,38055,6/25/2022,4500,245
EZ2 Lotto 11AM,43891,6/25/2022,4000,268
EZ2 Lotto 4PM,28-24,6/25/2022,4000,119
EZ2 Lotto 9PM,41518,6/25/2022,4000,449
Ultra Lotto 6/58,05-55-19-22-11-02,6/24/2022,49500000,0
Megalotto 6/45,28-10-16-03-25-13,6/24/2022,8910000,1
4Digit,4-1-5-7,6/24/2022,61019,12
Suertres Lotto 11AM,37136,6/24/2022,4500,169
Suertres Lotto 4PM,38932,6/24/2022,4500,146
Suertres Lotto 9PM,39850,6/24/2022,4500,706
EZ2 Lotto 11AM,44569,6/24/2022,4000,248
EZ2 Lotto 4PM,13-23,6/24/2022,4000,117
EZ2 Lotto 9PM,11293,6/24/2022,4000,229
Superlotto 6/49,36-07-14-21-20-42,6/23/2022,73777794.4,2
Lotto 6/42,24-05-13-39-06-40,6/23/2022,6457370.2,0
6Digit,4-0-5-0-9-9,6/23/2022,2244653,1
Suertres Lotto 11AM,4-0-3,6/23/2022,4500,301
Suertres Lotto 4PM,39630,6/23/2022,4500,372
Suertres Lotto 9PM,39144,6/23/2022,4500,391
EZ2 Lotto 11AM,46539,6/23/2022,4000,285
EZ2 Lotto 4PM,44836,6/23/2022,4000,155
EZ2 Lotto 9PM,15-18,6/23/2022,4000,256
Grand Lotto 6/55,54-10-17-53-39-06,6/22/2022,247174000.8,0
Megalotto 6/45,07-12-10-34-23-43,6/22/2022,8910000,0
4Digit,9-0-1-7,6/22/2022,45178,7
Suertres Lotto 11AM,39546,6/22/2022,4500,191
Suertres Lotto 4PM,38905,6/22/2022,4500,88
